,sqft_living,grade,bathrooms,distance_to_center,property_age,bedrooms,view,lat,floors,waterfront
0,1180,7,1.0,7.4436640735582,60,2,0,47.5112,1.0,0
1,2570,7,2.25,7.954648164680314,24,3,0,47.721,2.0,0
2,770,6,1.0,10.206393754050355,82,2,0,47.7379,1.0,0
3,1960,7,3.0,6.5511650749096475,50,4,0,47.5208,1.0,0
4,1680,8,2.0,13.432452098532421,28,3,0,47.6168,1.0,0
5,5420,11,4.5,15.659605222294719,14,4,0,47.6561,1.0,0
6,1715,7,2.25,20.484771798266344,20,3,0,47.3097,2.0,0
7,1060,7,1.5,13.612477081302313,52,3,0,47.4095,1.0,0
8,1780,7,1.0,6.491139601147177,55,3,0,47.5123,1.0,0
9,1890,7,2.5,21.649240358846807,12,3,0,47.3684,2.0,0
10,3560,8,2.5,8.750364601473255,50,3,0,47.6007,1.0,0
11,1160,7,1.0,6.08457032339495,73,2,0,47.69,1.0,0
12,1430,7,1.0,11.399871062811451,88,3,0,47.7558,1.5,0
13,1370,7,1.75,13.420514411976372,38,3,0,47.6127,1.0,0
14,1810,7,2.0,5.270835965927743,115,5,0,47.67,1.5,0
15,2950,9,3.0,3.1305282688227236,36,4,3,47.5714,2.0,0
16,1890,7,2.0,19.203396963772178,21,3,0,47.7277,2.0,0
17,1600,7,1.0,4.080312903937765,99,4,0,47.6648,1.5,0
18,1200,7,1.0,21.32050660908695,94,2,0,47.3089,1.0,0
19,1250,7,1.0,18.823699808663637,46,3,0,47.3343,1.0,0
20,1620,7,1.75,6.665967438134586,68,4,0,47.7025,1.0,0
21,3050,9,2.75,6.930356503740664,47,3,4,47.5316,1.0,0
22,2270,8,2.5,20.772143947839034,20,5,0,47.3266,2.0,0
23,1070,7,1.5,19.124971306908243,30,2,0,47.3533,1.0,0
24,2450,8,2.25,17.71292237693316,30,3,0,47.3739,2.0,0
25,1710,6,2.0,21.497274906457573,74,3,0,47.3048,1.5,0
26,2450,8,1.75,2.5900817337923123,100,3,0,47.6386,2.0,0
27,1400,8,1.0,1.386202132513658,106,3,0,47.6221,1.5,0
28,1520,7,1.75,6.27353376615113,67,3,0,47.695,1.0,0
29,2570,8,2.5,12.500310849008859,10,4,0,47.7073,2.0,0
30,2320,8,2.5,13.101145047473429,12,3,0,47.5391,2.0,0
31,1190,7,1.5,8.453523332497191,10,2,0,47.7274,3.0,0
32,2330,7,1.75,5.5181656033729425,86,4,0,47.6823,1.5,0
33,1090,8,1.0,6.05428929226851,86,3,0,47.6889,1.5,0
34,2060,7,2.75,14.811992699417525,34,4,0,47.4276,1.0,0
35,2300,8,2.5,5.384867830791539,13,3,0,47.6827,1.5,0
36,1660,5,1.0,10.110671065407978,82,4,0,47.6621,1.0,0
37,2360,8,2.0,4.636693516090851,111,4,0,47.6702,2.0,0
38,1220,7,1.0,18.94369927232983,46,4,0,47.3341,1.0,0
39,2620,8,2.5,8.843873927963546,19,4,0,47.5301,2.0,0
40,2570,9,2.5,14.265223483265162,15,4,0,47.6145,2.0,0
41,4220,8,2.25,11.15826190833496,31,4,0,47.445,1.0,0
42,3595,9,2.75,15.725017963036537,1,5,0,47.6848,2.0,0
43,1570,7,1.0,2.8460674615770625,93,3,0,47.6413,2.0,0
44,1280,6,1.0,13.1427199887797,56,3,0,47.4485,1.0,0
45,3160,8,2.5,19.11964983556643,12,3,0,47.7443,2.0,0
46,990,6,1.0,20.777630196781505,49,3,0,47.3066,1.0,0
47,2290,9,2.5,8.509264118422163,34,4,0,47.6194,2.0,0
48,1250,7,1.75,5.274718627697207,62,3,0,47.6796,1.0,0
49,2753,9,2.5,15.030500912220567,62,3,2,47.4041,1.0,1
50,1190,7,1.0,12.47182463216748,60,3,0,47.4258,1.0,0
51,3150,8,2.5,10.272525989357955,49,5,0,47.4934,1.0,0
52,1410,7,1.75,5.695044253469925,65,3,0,47.6808,1.0,0
53,1980,7,1.75,6.631896958233524,34,2,0,47.6989,1.0,0
54,2730,8,2.25,4.249726156723694,88,5,0,47.6571,1.5,0
55,2830,9,2.5,4.186439058173401,20,4,0,47.6597,2.0,0
56,2250,7,2.5,19.46754960747782,7,4,0,47.3663,2.0,0
57,2420,8,2.5,19.273647973233402,12,3,0,47.3663,2.0,0
58,3250,8,3.25,10.176312179809127,47,5,4,47.588,2.0,0
59,1850,8,3.0,11.015359154738562,24,4,0,47.5059,2.0,0
60,2150,8,2.25,11.928383105121839,56,3,3,47.4336,1.0,0
61,1260,7,1.75,11.717546642725672,61,3,0,47.4366,1.0,0
62,2519,8,1.75,11.30216821180153,42,3,0,47.4428,2.0,0
63,1540,8,1.75,4.889503040919207,1,3,0,47.6765,3.0,0
64,1660,7,2.25,1.6772808866686932,36,3,0,47.6113,1.0,0
65,2770,7,2.75,2.5417545348389687,90,3,0,47.5747,1.5,0
66,2720,10,2.5,6.765986010991917,26,4,0,47.5815,2.0,0
67,2240,7,2.5,18.872905279302408,10,4,0,47.3378,2.0,0
68,1000,7,1.0,19.813049596350062,47,3,0,47.3621,1.0,0
69,3200,8,2.25,5.717656033199733,50,5,0,47.6303,1.0,0
70,4770,11,3.25,8.65039698621147,42,5,0,47.6525,1.0,0
71,1260,7,2.0,11.476186908850902,43,3,0,47.7362,1.0,0
72,2750,7,2.0,7.925584523700083,99,4,0,47.7168,1.5,0
73,2380,8,2.5,21.901958881541415,10,4,0,47.3608,2.0,0
74,1790,7,1.75,21.397212755301517,50,3,0,47.3511,1.0,0
75,3430,10,4.0,16.212385956566187,29,4,0,47.5822,2.0,0
76,1760,7,1.75,9.67828013097627,59,4,0,47.6034,1.0,0
77,1040,7,1.0,4.127033766001294,74,3,0,47.5636,1.0,0
78,1410,7,1.0,6.994353187115206,59,3,0,47.7073,1.0,0
79,3450,10,2.5,23.23884978132586,13,4,0,47.342,2.0,0
80,2350,8,2.5,23.254008623621466,12,3,0,47.3512,2.0,0
81,1900,7,2.5,22.684645282299762,23,4,0,47.349,2.0,0
82,2020,7,1.0,4.4936816606546985,67,2,0,47.5474,1.0,0
83,1680,8,1.5,12.167647862823658,51,3,0,47.4811,1.0,0
84,960,6,1.0,8.367990733974153,63,3,0,47.7264,1.0,0
85,2140,9,1.5,2.443575103671461,90,3,0,47.6337,2.0,0
86,2660,7,2.25,22.791008690689452,54,5,0,47.2909,1.5,0
87,2770,9,3.25,8.481191691729855,9,3,0,47.5228,2.0,0
88,1610,7,2.25,8.878646918950874,36,2,0,47.518,2.0,0
89,1030,7,1.75,5.280627490732469,9,2,0,47.5394,2.0,0
90,1980,7,2.5,21.944821257385172,27,4,0,47.2897,2.0,0
91,3520,10,2.75,4.120155087163421,14,5,0,47.6506,2.0,0
92,1200,7,1.0,19.653622289486997,53,3,0,47.322,1.0,0
93,1580,8,1.5,6.12312451980017,76,3,0,47.687,1.0,0
94,1580,8,1.5,6.12312451980017,76,3,0,47.687,1.0,0
95,3300,7,2.5,4.096924116456425,24,4,0,47.5873,1.0,0
96,1960,7,1.75,17.367106943751637,48,3,0,47.3576,1.0,0
97,1160,7,1.5,21.015120090601652,40,4,0,47.3036,1.0,0
98,1810,7,1.75,22.106057874847004,35,3,0,47.4109,1.0,0
99,2320,9,2.5,30.123526622600064,23,3,2,47.4838,2.0,0
100,2070,9,2.5,2.5661836269571583,105,3,0,47.6415,1.5,0
101,1980,7,2.0,5.266349090234629,86,3,0,47.6775,1.5,0
102,2190,8,2.25,16.46957960610472,32,3,0,47.7731,2.0,0
103,2920,8,2.5,6.5870657006114,5,3,0,47.5814,2.0,0
104,1210,7,1.0,13.559597447078787,61,3,0,47.4375,1.0,0
105,2340,8,2.5,14.620644741227084,37,3,0,47.4431,1.0,0
106,1670,7,1.0,6.064766953624169,76,3,0,47.6878,1.5,0
107,1240,8,1.75,15.54426302527348,30,2,0,47.3813,1.0,0
108,3140,10,2.5,14.486004725781068,24,4,0,47.7304,2.0,0
109,2030,7,1.75,10.704843968166097,73,5,0,47.6417,2.0,0
110,2310,8,2.5,13.859023279566909,31,4,0,47.5386,2.0,0
111,1260,6,1.75,5.3163346684944095,110,3,0,47.6823,1.0,0
112,1540,7,1.75,21.965948411199907,35,3,0,47.3624,1.0,0
113,2080,7,1.75,4.416966098563255,44,3,2,47.5474,1.0,0
114,3230,9,2.5,20.231562562215412,14,4,3,47.3183,2.0,0
115,4380,8,3.5,6.5664750540028765,16,3,0,47.6981,2.0,0
116,1590,8,3.5,5.310129210183449,5,3,0,47.6824,3.0,0
117,880,6,1.0,8.269888182867291,70,2,0,47.5009,1.0,0
118,1570,6,2.0,7.699870089089219,65,4,0,47.4965,1.0,0
119,1610,7,1.0,2.2202192412831017,90,4,0,47.587,1.5,0
120,2400,8,2.5,11.78126729712251,51,3,2,47.7728,1.0,0
121,1450,7,2.0,9.811070117559153,28,3,0,47.7288,1.0,0
122,770,6,1.0,6.64244627986508,62,2,0,47.6999,1.0,0
123,2100,7,1.75,6.110411633548621,91,4,0,47.5299,1.5,0
124,2910,9,2.25,12.35791205001939,25,3,0,47.6897,2.0,0
125,2750,8,2.75,5.637350814928628,23,4,0,47.6141,1.5,0
126,2100,8,2.25,7.872347596215171,48,3,2,47.5091,1.0,0
127,2160,8,2.25,20.44310002915661,37,4,0,47.3129,1.0,0
128,2320,7,3.5,4.931262367436282,89,5,0,47.6763,2.0,0
129,2070,7,2.5,23.11756901295877,11,4,0,47.5319,2.0,0
130,1060,7,1.75,24.316594624499757,29,3,0,47.2761,1.0,0
131,2010,8,2.25,13.918742467408912,29,4,0,47.5343,1.0,0
132,3950,9,3.5,13.666552655056174,26,3,0,47.697,1.5,0
133,2010,8,2.5,16.06529700064874,1,3,0,47.5517,2.0,0
134,2140,9,3.5,5.153224866797518,10,4,0,47.6734,3.0,0
135,1320,7,1.75,19.451717599959128,59,3,0,47.3257,1.0,0
136,2020,7,1.75,19.081934904349716,47,4,0,47.3309,1.0,0
137,2590,8,2.25,11.655674517794559,47,4,0,47.7689,1.0,0
138,1190,6,1.0,7.706041113737189,34,2,0,47.7135,1.0,0
139,1170,8,2.25,5.0994097398082685,1,3,0,47.6722,3.0,0
140,1110,7,1.0,2.258170098969155,90,2,0,47.6338,1.0,0
141,2820,8,2.5,9.849379371297273,47,5,0,47.5707,1.0,0
142,1610,7,1.0,12.80853437813972,53,3,0,47.4563,1.0,0
143,1060,7,1.0,7.52701317953806,92,3,0,47.7144,1.0,0
144,2030,8,2.25,8.364602207515949,54,4,0,47.5495,1.0,0
145,3670,9,2.5,17.092531699562386,21,4,0,47.7421,2.0,0
146,2550,8,1.0,2.241098999049692,110,4,0,47.6354,2.0,0
147,2420,7,2.5,19.014249122272478,8,2,0,47.5262,2.0,0
148,2260,8,2.0,15.180074673664594,55,5,0,47.3887,1.0,0
149,1430,7,1.0,5.605847704609593,68,3,0,47.6873,1.0,0
150,1360,8,2.0,5.449161967920343,25,3,0,47.6838,2.0,0
151,1110,7,1.0,3.5978375562314078,68,3,0,47.655,1.5,0
152,1250,7,1.0,19.436508175604484,61,3,0,47.3255,1.0,0
153,5180,12,3.25,8.516948131708206,9,4,3,47.562,2.0,0
154,700,7,1.0,5.248025283127253,73,1,0,47.679,1.0,0
155,1180,7,1.0,13.151077575223582,48,3,0,47.4479,1.0,0
156,3960,9,3.5,9.354590193628052,19,5,0,47.525,2.0,0
157,2640,8,2.75,20.294636596102848,48,4,0,47.3135,1.0,0
158,1270,7,2.0,31.668905021918967,2,3,0,47.2086,1.5,0
159,1760,8,1.75,13.67173089111736,47,4,0,47.4715,1.0,0
160,2060,7,2.25,8.187694228293143,53,5,0,47.4877,1.0,0
161,1780,7,1.75,10.042363653913382,53,3,0,47.7171,1.0,0
162,3400,10,2.5,14.446527259934884,15,3,0,47.6012,2.0,0
163,1910,7,2.75,10.0430314695918,36,3,0,47.7319,1.0,0
164,2020,7,2.0,17.71135927319904,40,3,0,47.4582,1.0,0
165,1580,7,1.75,11.020353071803768,39,3,0,47.7209,1.0,0
166,1340,5,1.75,13.69462906063121,66,2,0,47.408,1.0,0
167,2680,9,2.5,10.08968463757172,16,4,0,47.565,2.0,0
168,2680,8,2.5,8.17372728932117,36,3,0,47.7028,1.0,0
169,1370,7,2.0,9.644618255797933,51,3,0,47.7458,1.0,0
170,1560,7,1.75,8.88727742313526,61,3,0,47.4776,1.0,0
171,2160,7,1.75,21.065548829902777,37,3,0,47.3026,1.0,0
172,1340,7,1.5,11.03092936589882,60,3,0,47.7658,1.5,0
173,3880,10,2.5,7.573808429151211,31,4,0,47.6477,2.0,0
174,2590,8,2.25,10.152452455860333,35,4,0,47.5619,2.0,0
175,1120,8,2.5,1.0763258675905847,7,3,0,47.6106,2.0,0
176,1970,7,2.75,1.7506095495840965,29,5,0,47.5868,1.0,0
177,1220,6,1.0,1.2032290321927361,114,3,0,47.6101,1.0,0
178,1950,7,1.5,32.26261753618537,40,3,2,47.1976,1.0,0
179,1350,7,1.0,8.118331250207383,66,2,0,47.7224,1.0,0
180,1670,7,2.5,19.064674469135895,27,3,0,47.3505,2.0,0
181,2380,7,3.0,5.113911590703266,90,4,0,47.5384,1.5,0
182,2440,7,3.0,9.167772279528794,54,4,0,47.7044,2.0,0
