sqft_living,grade,bathrooms,distance_to_center,property_age,bedrooms,view,lat,floors,waterfront
1780,9,1.75,18.552680770771047,32,3,0,47.367,1.0,0
1000,6,1.0,4.230103640797412,86,2,0,47.552,1.0,0
1080,6,1.0,8.457087055255673,73,3,0,47.4838,1.5,0
2090,7,2.25,16.39703203552617,38,3,0,47.3951,1.0,0
1741,8,2.5,8.885384460176946,8,2,0,47.7043,2.0,0
2340,8,1.75,16.238905837716203,37,3,0,47.4846,1.5,0
2040,7,2.75,11.299551311100604,46,5,0,47.7289,1.0,0
3320,9,2.25,10.959223856192967,51,5,2,47.759,1.0,0
1760,8,1.75,5.584317301523173,55,3,0,47.5355,1.0,0
1610,7,2.5,20.502360797390423,11,3,0,47.3833,2.0,0
1190,7,1.75,8.451349139494777,0,3,0,47.5026,1.0,0
2480,7,3.0,10.452490069770917,16,5,0,47.4586,1.0,0
1390,7,2.0,14.525580978665303,19,3,0,47.434,1.0,0
1040,7,1.0,10.774201375540873,1,3,0,47.453,1.0,0
2980,7,2.75,16.409305126958415,47,5,0,47.3807,1.0,0
1470,7,3.25,3.7352582121932207,7,3,0,47.5537,2.0,0
700,7,1.0,1.6105234641841046,93,2,0,47.6147,1.0,0
4350,10,3.0,8.632681561038488,43,5,0,47.6518,2.0,0
1760,7,2.0,6.835291227674368,11,4,1,47.5183,1.0,0
1560,6,1.75,5.600786715830549,88,3,0,47.5272,1.0,0
2480,7,1.75,6.587930097763813,65,4,0,47.584,1.0,0
2760,7,2.25,4.097063989491931,57,5,0,47.5561,1.0,0
2448,9,2.5,19.55876659763469,1,4,0,47.3428,2.0,0
1540,7,1.75,8.40450538915555,56,3,0,47.4973,1.0,0
3160,9,2.5,7.242269969835629,44,5,0,47.5368,1.0,0
1930,8,2.75,15.227999954485458,35,4,0,47.7502,1.0,0
3020,9,2.75,9.445483391858298,1,4,0,47.6948,2.0,0
2510,8,1.75,9.422038984843411,46,5,0,47.6635,1.5,0
2480,8,1.75,11.308453050149081,57,4,3,47.7646,1.0,0
1590,7,1.0,14.164939986345017,61,3,1,47.4013,1.0,0
2510,7,2.5,4.596827679577775,86,5,0,47.5422,1.5,0
3810,10,3.25,8.672136923515847,8,4,1,47.699,1.0,0
1900,7,2.5,31.488707743572363,18,4,0,47.2089,1.0,0
1390,7,1.5,15.901788947234623,52,3,0,47.3984,1.0,0
2993,7,1.5,9.588960384952271,94,4,0,47.4692,2.0,0
2480,9,1.75,7.091494297727785,49,4,0,47.5378,1.0,0
1440,8,1.75,6.284161659210434,48,4,0,47.634,1.0,0
1120,7,1.0,5.217556029679421,75,2,3,47.5397,1.0,0
2090,7,1.75,8.247426953580522,59,4,0,47.4958,1.0,0
1750,7,2.5,8.746280893594054,24,3,0,47.6953,2.0,0
2130,8,2.25,8.784341338568733,38,4,0,47.5567,2.0,0
2483,8,3.0,17.965575426731032,10,4,0,47.3623,2.0,0
1410,7,1.75,8.705603685592635,48,3,0,47.5375,1.0,0
1410,7,1.0,10.653282466655886,62,4,0,47.7604,1.5,0
3040,8,2.5,24.076950017937975,16,4,0,47.2667,2.0,0
2810,8,2.5,12.554993091687372,11,3,0,47.7735,2.0,0
2760,8,2.5,1.978059687379593,22,4,0,47.627,2.0,0
