bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,sqft_living15,sqft_lot15,lot_to_living_ratio,property_age,distance_to_center
3,1.75,1780,1.0,0,0,4,9,1780,0,1983,0,47.367,2750,13095,7.356741573033708,32,18.552680770771047
2,1.0,1000,1.0,0,0,3,6,800,200,1929,0,47.552,1270,5000,3.7,86,4.230103640797412
3,1.0,1080,1.5,0,0,3,6,990,90,1942,0,47.4838,1170,7800,6.931481481481481,73,8.457087055255673
3,2.25,2090,1.0,0,0,4,7,1280,810,1977,0,47.3951,1800,7350,3.588516746411483,38,16.39703203552617
2,2.5,1741,2.0,0,0,3,8,1446,295,2007,0,47.7043,2090,10454,0.8265364732912119,8,8.885384460176946
3,1.75,2340,1.5,0,0,3,8,1510,830,1978,0,47.4846,2060,77536,22.15213675213675,37,16.238905837716203
5,2.75,2040,1.0,0,0,4,7,1200,840,1969,0,47.7289,1530,7488,3.6705882352941175,46,11.299551311100604
5,2.25,3320,1.0,0,2,4,9,1900,1420,1964,0,47.759,2820,13138,3.957228915662651,51,10.959223856192967
3,1.75,1760,1.0,0,0,4,8,1460,300,1960,0,47.5355,1980,8400,4.7727272727272725,55,5.584317301523173
3,2.5,1610,2.0,0,0,3,7,1610,0,2004,0,47.3833,1790,3717,3.120496894409938,11,20.502360797390423
3,1.75,1190,1.0,0,0,3,7,1190,0,1952,2015,47.5026,1200,6000,5.042016806722689,0,8.451349139494777
5,3.0,2480,1.0,0,0,3,7,1560,920,1999,0,47.4586,1910,9432,2.903225806451613,16,10.452490069770917
3,2.0,1390,1.0,0,0,3,7,1390,0,1996,0,47.434,1630,7340,5.179856115107913,19,14.525580978665303
3,1.0,1040,1.0,0,0,3,7,1040,0,1942,2014,47.453,1350,8410,8.086538461538462,1,10.774201375540873
5,2.75,2980,1.0,0,0,3,7,1710,1270,1968,0,47.3807,2240,9838,3.3013422818791947,47,16.409305126958415
3,3.25,1470,2.0,0,0,3,7,1180,290,2008,0,47.5537,1470,1243,0.8401360544217688,7,3.7352582121932207
2,1.0,700,1.0,0,0,3,7,700,0,1922,0,47.6147,1440,4800,6.857142857142857,93,1.6105234641841046
5,3.0,4350,2.0,0,0,3,10,2950,1400,1972,0,47.6518,3280,41631,8.544597701149426,43,8.632681561038488
4,2.0,1760,1.0,0,1,3,7,780,980,1925,2004,47.5183,1510,5500,3.125,11,6.835291227674368
3,1.75,1560,1.0,0,0,5,6,780,780,1927,0,47.5272,1320,7680,3.6923076923076925,88,5.600786715830549
4,1.75,2480,1.0,0,0,3,7,1390,1090,1950,0,47.584,2440,9195,3.7076612903225805,65,6.587930097763813
5,2.25,2760,1.0,0,0,3,7,1380,1380,1958,0,47.5561,2060,6342,2.300724637681159,57,4.097063989491931
4,2.5,2448,2.0,0,0,3,9,2448,0,2014,0,47.3428,2815,5446,2.0216503267973858,1,19.55876659763469
3,1.75,1540,1.0,0,0,3,7,1070,470,1959,0,47.4973,2510,6618,4.306493506493506,56,8.40450538915555
5,2.5,3160,1.0,0,0,4,9,1780,1380,1971,0,47.5368,3260,11470,3.6297468354430378,44,7.242269969835629
4,2.75,1930,1.0,0,0,4,8,1180,750,1980,0,47.7502,1880,10234,6.75699481865285,35,15.227999954485458
4,2.75,3020,2.0,0,0,3,9,3020,0,2014,0,47.6948,3010,7215,2.3850993377483443,1,9.445483391858298
5,1.75,2510,1.5,0,0,3,8,2510,0,1969,0,47.6635,1900,9750,3.8844621513944224,46,9.422038984843411
4,1.75,2480,1.0,0,3,3,8,1460,1020,1958,0,47.7646,2910,10800,5.960483870967742,57,11.308453050149081
3,1.0,1590,1.0,0,1,3,7,1090,500,1954,0,47.4013,1540,10500,5.132075471698113,61,14.164939986345017
5,2.5,2510,1.5,0,0,4,7,1710,800,1929,0,47.5422,1270,6741,2.99800796812749,86,4.596827679577775
4,3.25,3810,1.0,0,1,3,10,2680,1130,2007,0,47.699,3240,10748,2.2359580052493437,8,8.672136923515847
4,2.5,1900,1.0,0,0,3,7,1900,0,1968,1997,47.2089,1420,8350,4.3589473684210525,18,31.488707743572363
3,1.5,1390,1.0,0,0,4,7,1390,0,1963,0,47.3984,1740,11340,8.158273381294965,52,15.901788947234623
4,1.5,2993,2.0,0,0,4,7,2233,760,1921,0,47.4692,2060,15100,6.481790845305714,94,9.588960384952271
4,1.75,2480,1.0,0,0,4,9,1630,850,1966,0,47.5378,2770,10744,4.439516129032258,49,7.091494297727785
4,1.75,1440,1.0,0,0,4,8,1440,0,1967,0,47.634,3520,10802,9.233333333333333,48,6.284161659210434
2,1.0,1120,1.0,0,3,3,7,1120,0,1940,0,47.5397,1880,6828,11.272321428571429,75,5.217556029679421
4,1.75,2090,1.0,0,0,3,7,1280,810,1956,0,47.4958,2190,9600,3.102870813397129,59,8.247426953580522
3,2.5,1750,2.0,0,0,4,7,1750,0,1991,0,47.6953,1750,4286,1.9165714285714286,24,8.746280893594054
4,2.25,2130,2.0,0,0,4,8,2130,0,1977,0,47.5567,3380,10050,5.0,38,8.784341338568733
4,3.0,2483,2.0,0,0,3,8,2483,0,2005,0,47.3623,2075,5720,2.2960128876359245,10,17.965575426731032
3,1.75,1410,1.0,0,0,4,7,1410,0,1967,0,47.5375,1560,7700,5.460992907801418,48,8.705603685592635
4,1.0,1410,1.5,0,0,4,7,1410,0,1953,0,47.7604,1330,8395,5.4560283687943265,62,10.653282466655886
4,2.5,3040,2.0,0,0,3,8,3040,0,1999,0,47.2667,2420,10026,7.935197368421052,16,24.076950017937975
3,2.5,2810,2.0,0,0,3,8,2810,0,2004,0,47.7735,2540,4871,1.6395017793594306,11,12.554993091687372
4,2.5,2760,2.0,0,0,3,8,2760,0,1993,0,47.627,2760,5390,2.0833333333333335,22,1.978059687379593
4,2.5,4940,1.0,0,4,3,9,3450,1490,1953,0,47.5095,2430,9272,2.0317813765182184,62,7.776079190421896
3,2.0,1380,1.5,0,0,4,7,1380,0,1917,0,47.6807,1350,5000,3.6231884057971016,98,5.427600223216383
3,2.5,3050,1.0,0,0,4,9,3050,0,1987,0,47.4326,2960,31050,51.98622950819672,28,13.325327073942905
3,1.0,1040,1.0,0,0,3,7,870,170,1924,0,47.6461,1730,4200,4.3076923076923075,91,2.9739561758142536
5,4.0,3366,2.5,0,2,3,8,2966,400,1937,0,47.6466,2340,6000,2.3172905525846703,78,3.9188381210272856
5,1.75,1730,1.0,0,0,5,7,1010,720,1963,0,47.5008,1730,7728,5.993063583815029,52,10.784659939247668
3,2.25,1740,1.0,0,0,4,7,1110,630,1963,0,47.4149,1640,9600,5.558620689655172,52,14.989320797141373
4,2.5,2410,1.0,0,0,3,8,1550,860,1974,0,47.7153,2330,6938,2.672199170124481,41,10.009055373371709
3,2.5,2090,1.0,0,0,3,7,1360,730,1962,2014,47.7369,2090,7668,3.6555023923444976,1,9.033800636711703
